,region,month_year,region_type,state_code,last_updated,state_name,active_listings,active_listings_yoy,homes_sold,homes_sold_yoy,homes_inventory,homes_inventory_yoy,median_dom,median_dom_yoy,median_sale_price,median_sale_price_yoy,months_of_supply,months_of_supply_yoy,new_listings,new_listings_yoy,pending_sales,pending_sales_yoy,region_type_id,month,year,month_code,month_year_code
21, National,March 2017,National,US,9/13/2020 2:44:56 PM,U.S.,2185105.0,-0.074462079,534054.0,9.7%,1522912.0,-11.4%,50.0,-10.0,257000.0,7.5%,2.8516048339999998,-0.680801309,766773.0,1.8%,481786.0,8.8%,11,March,2017,03,201703.0
22, National,April 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2140965.0,-0.036814161,544884.0,5.4%,1465347.0,-7.6%,36.0,-5.0,281000.0,7.0%,2.6892795310000004,-0.378792884,777075.0,6.8%,544419.0,9.2%,11,April,2018,04,201804.0
23, National,July 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2345979.0,-0.009641091999999999,623847.0,5.3%,1668224.0,-2.8%,32.0,-4.0,287000.0,5.0%,2.6740929540000002,-0.223577512,719998.0,4.6%,541822.0,6.6%,11,July,2018,07,201807.0
24, National,November 2018,National,US,9/13/2020 2:44:56 PM,U.S.,2130230.0,0.039097246,479668.0,-3.2%,1577743.0,6.7%,46.0,0.0,279000.0,3.3%,3.28923541,0.303415745,464934.0,1.1%,367287.0,-4.2%,11,November,2018,11,201811.0
25, National,April 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2255844.0,0.053657761,550804.0,1.1%,1563284.0,6.7%,41.0,5.0,290000.0,3.1%,2.838185443,0.148905912,782127.0,0.7%,539103.0,-1.0%,11,April,2019,04,201904.0
26, National,November 2019,National,US,9/13/2020 2:44:56 PM,U.S.,2022173.0,-0.050725407,480575.0,0.2%,1459546.0,-7.5%,45.0,-1.0,294000.0,5.4%,3.037081597,-0.252153813,437843.0,-5.8%,380769.0,3.7%,11,November,2019,11,201911.0
27, National,February 2012,National,US,9/13/2020 2:44:56 PM,U.S.,2516345.0,-0.12762318,304737.0,15.4%,2078931.0,-16.1%,97.0,-10.0,160000.0,-1.9%,6.822032612,-2.564297085,514822.0,6.2%,217907.0,25.7%,11,February,2012,02,201202.0
28, National,October 2013,National,US,9/13/2020 2:44:56 PM,U.S.,2497254.0,0.019064947,447647.0,5.8%,1963663.0,1.4%,60.0,-13.0,210000.0,13.5%,4.38662488,-0.189616492,540417.0,11.3%,323565.0,12.8%,11,October,2013,10,201310.0
29, National,January 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2143396.0,0.013226755,303454.0,-2.6%,1713791.0,2.0%,75.0,-4.0,200000.0,11.3%,5.647602789,0.252733141,474761.0,-2.7%,223202.0,-2.8%,11,January,2014,01,201401.0
30, National,December 2014,National,US,9/13/2020 2:44:56 PM,U.S.,2214626.0,0.030197687,445766.0,9.1%,1734475.0,2.1%,67.0,-1.0,222000.0,5.1%,3.890995451,-0.263956556,328079.0,7.2%,244370.0,6.6%,11,December,2014,12,201412.0
31, National,March 2016,National,US,9/13/2020 2:44:56 PM,U.S.,2360903.0,-0.023945072,486821.0,6.0%,1719652.0,-5.0%,60.0,-7.0,239000.0,6.1%,3.532406143,-0.409952159,753448.0,7.1%,442842.0,12.0%,11,March,2016,03,201603.0
32, National,July 2017,National,US,9/13/2020 2:44:56 PM,U.S.,2368817.0,-0.0608493,592302.0,1.3%,1716298.0,-9.2%,36.0,-5.0,273000.0,6.4%,2.897670466,-0.335106801,688399.0,0.9%,508426.0,8.1%,11,July,2017,07,201707.0
